Manager,Year,Record,Wins,Losses,Points For,Win %
Alex,2015,9-3,9,3,1201.0,0.75
Alex,2016,4-8,4,8,1043.0,0.3333333333333333
Alex,2017,2-10,2,10,937.5,0.16666666666666666
Alex,2018,10-2,10,2,1345.5,0.8333333333333334
Alex,2019,7-5,7,5,1340.0,0.5833333333333334
Alex,2020,9-3,9,3,1445.5,0.75
Alex,2021,6-7,6,7,1364.5,0.46153846153846156
Alex,2022,7-6,7,6,1347.0,0.5384615384615384
Alex,2023,9-5,9,5,1787.54,0.6428571428571429
Alex,2024,10-4,10,4,1869.62,0.7142857142857143
Paul,2015,7-5,7,5,1227.0,0.5833333333333334
Paul,2016,11-1,11,1,1281.0,0.9166666666666666
Paul,2017,7-5,7,5,1233.0,0.5833333333333334
Paul,2018,6-6,6,6,1514.0,0.5
Paul,2019,9-3,9,3,1414.5,0.75
Paul,2020,7-5,7,5,1252.0,0.5833333333333334
Paul,2021,8-5,8,5,1411.5,0.6153846153846154
Paul,2022,7-6,7,6,1225.5,0.5384615384615384
Paul,2023,8-6,8,6,1547.52,0.5714285714285714
Paul,2024,7-7,7,7,1690.4,0.5
Raphael,2015,7-5,7,5,1178.0,0.5833333333333334
Raphael,2016,4-8,4,8,1117.0,0.3333333333333333
Raphael,2017,6-6,6,6,1084.5,0.5
Raphael,2018,8-4,8,4,1496.0,0.6666666666666666
Raphael,2019,8-4,8,4,1234.5,0.6666666666666666
Raphael,2020,5-7,5,7,1366.0,0.4166666666666667
Raphael,2021,4-9,4,9,1128.0,0.3076923076923077
Raphael,2022,9-4,9,4,1488.0,0.6923076923076923
Raphael,2023,9-5,9,5,1774.62,0.6428571428571429
Raphael,2024,7-7,7,7,1719.46,0.5
Oliver,2015,4-8,4,8,934.0,0.3333333333333333
Oliver,2016,4-8,4,8,1086.0,0.3333333333333333
Oliver,2017,9-3,9,3,1287.0,0.75
Oliver,2018,5-7,5,7,1404.0,0.4166666666666667
Oliver,2019,5-7,5,7,1179.5,0.4166666666666667
Oliver,2020,8-4,8,4,1352.5,0.6666666666666666
Oliver,2021,5-8,5,8,1178.0,0.38461538461538464
Oliver,2022,8-5,8,5,1436.5,0.6153846153846154
Oliver,2023,4-10,4,10,1477.08,0.2857142857142857
Oliver,2024,4-10,4,10,1411.92,0.2857142857142857
Yrian,2016,6-6,6,6,1130.0,0.5
Yrian,2017,8-4,8,4,1315.0,0.6666666666666666
Yrian,2018,6-6,6,6,1429.5,0.5
Yrian,2019,7-5,7,5,1458.0,0.5833333333333334
Yrian,2020,4-8,4,8,1223.0,0.3333333333333333
Yrian,2021,7-6,7,6,1410.5,0.5384615384615384
Yrian,2022,8-5,8,5,1439.5,0.6153846153846154
Yrian,2023,9-5,9,5,1738.28,0.6428571428571429
Yrian,2024,8-6,8,6,1744.58,0.5714285714285714
Theo ,2016,5-7,5,7,940.0,0.4166666666666667
Theo ,2017,5-7,5,7,1040.5,0.4166666666666667
Theo ,2018,6-6,6,6,1338.0,0.5
Theo ,2019,5-7,5,7,1277.5,0.4166666666666667
Theo ,2020,4-8,4,8,1186.0,0.3333333333333333
Theo ,2021,4-9,4,9,1270.5,0.3076923076923077
Theo ,2022,6-7,6,7,1266.5,0.46153846153846156
Theo ,2023,8-6,8,6,1632.56,0.5714285714285714
Theo ,2024,4-10,4,10,1582.34,0.2857142857142857
Owen,2016,7-5,7,5,1131.0,0.5833333333333334
Owen,2017,8-4,8,4,1243.5,0.6666666666666666
Owen,2018,4-8,4,8,1212.5,0.3333333333333333
Owen,2020,6-6,6,6,1264.0,0.5
Owen,2021,7-6,7,6,1393.0,0.5384615384615384
Owen,2022,4-9,4,9,1262.5,0.3076923076923077
Owen,2023,5-9,5,9,1532.6,0.35714285714285715
Owen,2024,7-7,7,7,1623.18,0.5
Sjaak,2021,8-5,8,5,1538.5,0.6153846153846154
Sjaak,2022,10-3,10,3,1430.5,0.7692307692307693
Sjaak,2023,7-7,7,7,1796.62,0.5
Sjaak,2024,11-3,11,3,1859.54,0.7857142857142857
Alan ,2021,9-4,9,4,1439.0,0.6923076923076923
Alan ,2022,4-9,4,9,1270.0,0.3076923076923077
Alan ,2023,8-6,8,6,1616.2,0.5714285714285714
Alan ,2024,6-8,6,8,1557.2,0.42857142857142855
Jack,2024,6-8,6,8,1573.34,0.42857142857142855
Christian,2015,8-4,8,4,1148.0,0.6666666666666666
Christian,2016,7-5,7,5,1182.0,0.5833333333333334
Christian,2017,5-7,5,7,1182.0,0.4166666666666667
Christian,2018,3-9,3,9,1147.5,0.25
Christian,2019,3-9,3,9,1209.5,0.25
Christian,2020,5-7,5,7,1192.0,0.4166666666666667
Christian,2022,2-11,2,11,1048.0,0.15384615384615385
Christian,2023,3-11,3,11,1441.12,0.21428571428571427
Julian,2017,6-6,6,6,1146.5,0.5
Julian,2019,4-8,4,8,1154.0,0.3333333333333333
Julian,2021,7-6,7,6,1373.0,0.5384615384615384
Sam,2017,4-8,4,8,1039.5,0.3333333333333333
Thaddeus ,2015,6-6,6,6,1006.0,0.5
Rowan,2015,4-8,4,8,966.0,0.3333333333333333
Brendan ,2015,3-9,3,9,850.0,0.25